country,description,designation,points,price,province,region_1,title,variety,winery
Spain,"Varietally correct aromas of peach and melon form a good opening to this mostly fresh but fading Albariño. Flavors of melon, papaya and peach are typical for the grape, and the finish is holding on but showing signs of maturation. Drink immediately.",,87,15,Galicia,Rías Baixas,Pazo Torrado 2013 Albariño (Rías Baixas),Albariño,Pazo Torrado
Argentina,"Dark in color and forcefully oaked on the nose, this resiny Malbec will appeal to fans of richly styled reds. Plum, berry, tomato leaf and herbal flavors finish woody but fair, with lasting acidity.",Clásico,87,15,Mendoza Province,Mendoza,Sur de los Andes 2012 Clásico Malbec (Mendoza),Malbec,Sur de los Andes
New Zealand,"In marked contrast to the plush, sexy 2010, the 2011 Patriarch is a stern taskmaster. The aromas and flavors of cherry, cedar and dried herbs are pleasant, but carry with them a worring dry astringency. Try drinking this over the near term, with rare beef to help ameliorate the tannin's effects.",The Patriarch Premium,87,70,Hawke's Bay,,Babich 2011 The Patriarch Premium Red (Hawke's Bay),Bordeaux-style Red Blend,Babich
Spain,"A pretty decent Rioja for the vintage, but you're going to have to be ready for some rubbery aromas and then staunch red fruit with a little bite. It's quite the traditional wine, with lemon peel, leather and tobacco. Runs short on the finish.",Crianza,85,15,Northern Spain,Rioja,Rentas de Fincas 2003 Crianza  (Rioja),Red Blend,Rentas de Fincas
Austria,"The lightest in a range of Grüner Veltliner from Hans Setzer. This is a green apple and grapefruit flavored wine, all lightness, freshness and crispness. There is a green plum skin tang to it, added to citrus.",Vesper,85,20,Niederösterreich,,Setzer 2007 Vesper Grüner Veltliner (Niederösterreich),Grüner Veltliner,Setzer
Italy,"The wine boasts a pretty golden hue and segues to tones of almond skin, stone fruit, nut and cardboard. It feels smooth and rich in the mouth and has some tart citrus flavors on the close.",Rive Alte,85,17,Northeastern Italy,Isonzo del Friuli,Tenuta Luisa 2007 Rive Alte Pinot Grigio (Isonzo del Friuli),Pinot Grigio,Tenuta Luisa
US,"Far and away the freshest and most interesting of the three vintages submitted for review. The fruit retains more of its youthful gloss; it's riper and shows more cherry character, along with bright, spicy highlights. The tannins are proportionate and less earthy and herbal. This is no barn-burner, but it's a good quaffer.",,85,24,Oregon,Willamette Valley,Honeywood Winery 2006 Pinot Noir (Willamette Valley),Pinot Noir,Honeywood Winery
Italy,"There's a saccharin or soda-like element to the nose of this Verduzzo-Friulano blend that gives the wine a cheerful, upfront personality but that overpowers the natural fruit. The wine tastes both tart and sweet and ends with butterscotch candy flavors.",Bianco degli Arzillari,85,28,Northeastern Italy,Colli Orientali del Friuli,I Clivi 2004 Bianco degli Arzillari White (Colli Orientali del Friuli),White Blend,I Clivi
US,"This is a pretty good buy for a Merlot that shows lots of polish and sophistication. It has savory black cherry, currant, cola and spice flavors. The tannins are a little rugged and green, so it loses some points.",,85,16,California,Napa Valley,Irony 2004 Merlot (Napa Valley),Merlot,Irony
France,"Created by music industry businessman Kedar Massenburg (CEO Motown Records), the K'orus range is produced in the Languedoc. This Cabernet Sauvignon gives blackberry fruits, very juicy, lightly sweet to finish, but retaining attractive structure and acidity.",,85,12,Languedoc-Roussillon,Vin de Pays d'Oc,Kedar's K'orus NV Cabernet Sauvignon (Vin de Pays d'Oc),Cabernet Sauvignon,Kedar's K'orus
France,"Easy, creamy wine, with soft apple flavors and a touch of citrus. There is a light edge of toast to round out the soft, fleshy aftertaste.",,85,12,Languedoc-Roussillon,Vin de Pays d'Oc,Kedar's K'orus NV Chardonnay (Vin de Pays d'Oc),Chardonnay,Kedar's K'orus
US,"Shows plenty of lush, ripe fruit, wrapped in soft tannins and balanced with crisp acids. The forward black cherry, red licorice, orange and smoky vanilla flavors are rich, and the price makes it a great value.",,85,10,California,California,Little Black Dress 2006 Merlot (California),Merlot,Little Black Dress
Spain,"Quite leesy and funky, with meaty, oily aromas that are a departure from normal Albariño and are indicative of the 30% Treixadura and Loureiro that beef things up. Perfectly drinkable, and with a decent mouthfeel, but still it lacks the straightforward cleanliness of the really good wines from Galicia. Imported by Republic National Distributing Co.",Señor da Folla Verde,85,25,Galicia,Rías Baixas,Marqués de Vizhoja 2007 Señor da Folla Verde White (Rías Baixas),White Blend,Marqués de Vizhoja
US,"Estancia produces solid, savory Pinot Grigios at a fair price, and they even dropped their price last year. This one's a little off-dry, with crisp acidity and pleasant citrus, peach and honeysuckle flavors.",,85,12,California,California,Estancia 2007 Pinot Grigio (California),Pinot Grigio,Estancia
Spain,"With tobacco, molasses, spearmint and baked fruit aromas, this finds itself squarely in the old school forum. The palate shows straight-ahead red fruit with light herbal and pepper accents. Snappy and a bit thin, but it offers all the basics.",Reserva,85,30,Northern Spain,Rioja,Finca La Emperatriz 2000 Reserva  (Rioja),Tempranillo Blend,Finca La Emperatriz
Italy,"Grassy and tonic with background shadings of white flower and stone fruit, this Ribolla Gialla offers aromas of white peach, kiwi and subtle hints of exotic fruit. The wine is crisp and lean in the mouth.",,85,19,Northeastern Italy,Colli Orientali del Friuli,Vinai dell'Abbate 2006 Ribolla Gialla (Colli Orientali del Friuli),Ribolla Gialla,Vinai dell'Abbate
Austria,"Beyond the spice of this cool-climate wine,  the flavors offer red berry fruits, fresh acidity and stalky tannins. It's soft, easy to drink now.",Sandgrube 13 Chremisa,85,24,Kremstal,,Winzer Krems 2005 Sandgrube 13 Chremisa Zweigelt (Kremstal),Zweigelt,Winzer Krems
Austria,"One of the original in the new generation of light, fresh Grüner Veltliner, Veltlinsky is a good example. With its green apple directness and smooth structure, it is a wine for the year, a fine apéritif or seafood partner. Screwcap.",Veltlinsky,85,10,Niederösterreich,,Graf Hardegg 2007 Veltlinsky Grüner Veltliner (Niederösterreich),Grüner Veltliner,Graf Hardegg
Chile,"A little tart and pickled off the bat, with notes of rhubarb and red cherry along with a stronger, more evident blast of oak. The palate is fresh but sort of lean and wanting, with regular raspberry and plum flavors. Snappy but slightly sappy and resiny for what's on offer.",El Delirio Reserve Syrah-Malbec,85,11,Central Valley,,Botalcura 2006 El Delirio Reserve Syrah-Malbec Red (Central Valley),Red Blend,Botalcura
US,"This is the kind of wine someone serves at a big party, maybe in paper cups, along with the canapes, and you're delighted because it's actually pretty good. It's dry, soft and chocolaty, with a rich undertow of blackberries and currants.",,85,16,California,Central Coast,Bridgeway 2004 Syrah (Central Coast),Syrah,Bridgeway
Italy,"La Piazza is a line of wine from Sicily's Calatrasi winery that uses fruit from various parts of Italy. This is their Pinot Grigio from northern Italy that tastes rich and creamy and is made in a New World style. Aromas revolve around butter, almond paste, peach and apricot. It doesn't have huge length, but it does taste rich and dense.",La Piazza,85,,Northeastern Italy,Delle Venezie,Calatrasi 2006 La Piazza Pinot Grigio (Delle Venezie),Pinot Grigio,Calatrasi
France,"As in nearby Sauternes, 2005 produced some exceptionally rich botrytised wine in Monbazillac. This example from one of the leading Bergerac producers certainly shows plenty of richness, but it seems rather too sugary, showing toffee flavors and fatness. The acidity is missing.",,85,11,Southwest France,Monbazillac,Château Bélingard 2005  Monbazillac,Bordeaux-style White Blend,Château Bélingard
France,"For those with a classical bent, Clos Teddi is named after Thetis, sea goddess and mother of Achilles. This rosé, appropriately, summons up lunch by the ocean, with its crisp, fresh, dry strawberry and pink grapefruit flavors, just touched by caramel.",Rosé,85,25,France Other,Patrimonio,Clos Teddi 2007 Rosé Red (Patrimonio),Red Blend,Clos Teddi
Italy,"Young spring flowers, lemongrass, green melon and dandelion come to mind and color what is a fresh wine with an easy, no-fuss approach. There's no big complicated story here, but that's exactly the point.",,85,,Northeastern Italy,Colli Orientali del Friuli,Colutta 2007 Friulano (Colli Orientali del Friuli),Friulano,Colutta
South Africa,"Layered and rustic, this wine starts with aromas of tobacco and sausage and leads into spicy, dark fruit flavors. Vibrant with supple tannins, the wine needs some time.",,85,20,Darling,,Ormonde 2005 Cabernet Sauvignon-Merlot (Darling),Cabernet Sauvignon-Merlot,Ormonde
Italy,"This is a ripe, slightly jammy blend of Nero d'Avola and Merlot with tones of cooked spice and blackberry pie. There are also some green leafy notes in the back backed by dense black tea that come as a surprise. You'll feel some grit on the palate and more fruit flavors on the close.",Evoè,85,,Sicily & Sardinia,Sicilia,Principe di Corleone 2004 Evoè Red (Sicilia),Red Blend,Principe di Corleone
Portugal,"Ripe and fruity, this is already delicious, but that doesn't detract from the firm tannins and density of a wine that will age well. It has all the elements, with the fruit, solid tannins and a juicy aftertaste. Drink from 2025.",Quinta do Seixo Vintage,94,50,Port,,Sandeman 2015 Quinta do Seixo Vintage  (Port),Port,Sandeman
US,"Composed, complex and complete, this mellow wine is very comfortable in its skin. Touches of oak, tobacco, dried plum and cardamom fill the aroma, and ripe but not overripe black cherry, tamarind and cola flavors flood the palate, supported by fine-grained tannins and medium-full body.",Old Vine Reserve,94,38,California,Amador County,Scott Harvey 2012 Old Vine Reserve Zinfandel (Amador County),Zinfandel,Scott Harvey
US,"This wine offers astounding quality for the price, a juicy expression of fruit and spice with a depth of firm resolved tannin, lively acidity and layers of black cherry and cola. Approachable and delicious, it hits the mark on every level being light bodied and refreshingly balanced while complex.",,94,34,California,Sonoma Coast,Sea Slopes 2015 Pinot Noir (Sonoma Coast),Pinot Noir,Sea Slopes
US,"With its distinctive black label, this reserve is set apart from the winery's expanding lineup of Pinots. It shows more oak-derived flavors, along with ripe plum and cherry fruit. Streaks of espresso, vanilla and chocolate come through, suggesting it will only improve with a hearty decant or additional bottle age. Drink now through the mid-2020s.",Family Reserve MMXIV,94,100,Oregon,Willamette Valley,Trisaetum 2014 Family Reserve MMXIV Pinot Noir (Willamette Valley),Pinot Noir,Trisaetum
US,"Sourced from the estate's original 1999 plantings, this is a chewy, majestic, earthy and deeply dark wine. Its black fruit is ribbed wtih iron, licorice, coffee and graphite notes and framed by earthy tannins that lend texture. It drinks bigger than its listed alcohol would suggest.",Bergström Vineyard,94,95,Oregon,Dundee Hills,Bergström 2015 Bergström Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Bergström
US,"This single vineyard wine is a blend of six separate blocks, each planted to a different clone. It deftly combines savory herb flavors with ripe Bing cherry fruit. The tannins are polished, textured and balanced, leading into a long finish that leaves a final impression of composted earth.",Shea Vineyard,94,62,Oregon,Willamette Valley,Bergström 2015 Shea Vineyard Pinot Noir,Pinot Noir,Bergström
Italy,"This wine's enticing rose, blue flower, menthol and herb scents come together in the glass. On the taut, precise palate, tightly knit, refined tannins enwrap crunchy red cherry and juicy cranberry flavors. White pepper and clove notes add depth, while bright acidity lends balance. Drink 2023–2035.",Castelletto,94,57,Piedmont,Barolo,Mauro Veglio 2013 Castelletto  (Barolo),Nebbiolo,Mauro Veglio
Portugal,"This is a major Douro wine from the Poças family-owned Port and wine producer. Dusty tannins already give it class as well as richness. Packed with black-plum fruits and with good concentration, the wine is still maturing. It needs to age further, so drink from 2019.",Símbolo,94,150,Douro,,Poças 2014 Símbolo Red (Douro),Portuguese Red,Poças
Portugal,"Full of ripe fruit, this wine is rich while also having a delicately perfumed character. With its spice, generous fruits and sense of poise, it will age well. Drink from 2027.",Vintage,94,78,Port,,Quinta do Vesuvio 2015 Vintage  (Port),Port,Quinta do Vesuvio
Australia,"Sourced from vines planted in 1847, this is a full-bodied, open-knit wine, supple and velvety in texture. Vanilla cream and black cherries mark the nose, while the flavors are more savory, resembling black olives and grilled meat. It's long and lush on the finish. Drink it now through 2025.",Moorooroo,94,100,South Australia,Barossa Valley,Schild Estate 2013 Moorooroo Shiraz (Barossa Valley),Shiraz,Schild Estate
US,"Always impressive in its grasp of power and grace, this white is memorable from start to finish, beginning with a dark golden-hay color that dazzles in the glass. A strong floral component of jasmine invites on the nose, while sparkling acidity maintains a freshness amidst the integrated oak and delicious flavors of honeyed pear and crème brûlée.",Red Shoulder Ranch,94,52,California,Carneros,Shafer 2015 Red Shoulder Ranch Chardonnay (Carneros),Chardonnay,Shafer
France,"From old vines planted in a single vineyard, this is a spectacular red. It has the crisp acidity of the cool-climate Sancerre, but it also has the weight and ripeness of a fine Burgundy. The wood aging has left a spicy toasty edge to the beautiful cherry fruits and acidity. It could age for another year to be at its best. Drink from 2019.",En Grands Champs,94,112,Loire Valley,Sancerre,Alphonse Mellot 2014 En Grands Champs  (Sancerre),Pinot Noir,Alphonse Mellot
Italy,"This savory, firmly structured, full-bodied red opens with subtle dark berry, rose petal, pipe tobacco and crushed herb aromas. It delivers layers of juicy Marasca cherry, black raspberry, cinnamon and clove flavors, buttressed by youthfully assertive but refined tannins and nicely balanced, with fresh acidity. Drink 2023–2033.",Ascheri,94,180,Piedmont,Barolo,Ascheri 2013 Ascheri  (Barolo),Nebbiolo,Ascheri
US,"Irresistably delicious and reminiscent of cru Burgundy, this laser-focused effort features bright Meyer lemon, tangerine and peach flavors, with plenty of juicy acidity. It grows deeper and richer as it breathes—and seems to disappear way too quickly once opened.",Old Stones,94,35,Oregon,Willamette Valley,Bergström 2015 Old Stones Chardonnay (Willamette Valley),Chardonnay,Bergström
US,"This winery is earning a place among Oregon's best with its top tier wines, like this one. Complex and loaded with bee pollen, crisp apple, lime zest, seabreeze and toasted cracker notes, it leaves you breathless the longer it breathes.",Elusive Queen,94,85,Oregon,Willamette Valley,Big Table Farm 2015 Elusive Queen Chardonnay (Willamette Valley),Chardonnay,Big Table Farm
US,"As characterful as the dry version but with lower alcohol and a slight hint of sweetness, this boasts powerful tangerine, quince and Meyer lemon fruit. Its electric acidity keeps it vivid and beautifully balanced. Delicious now, it's also cellar-worthy.",Ribbon Ridge Estate,94,32,Oregon,Ribbon Ridge,Trisaetum 2016 Ribbon Ridge Estate Riesling (Ribbon Ridge),Riesling,Trisaetum
US,"More tart than sweet, this delicious wine is packed with lemon drop, candied pineapple and tangerine fruit. The acidity is in perfect proportion with the slightly sweet palate, giving it a vivid mouthfeel that extends into the finish and offers versatility for food pairing.",Wichmann Dundee Estate,94,32,Oregon,Dundee Hills,Trisaetum 2016 Wichmann Dundee Estate Riesling (Dundee Hills),Riesling,Trisaetum
US,"Lighter in color, this wine is aromatic and expressive, with notes of fire pit, blood, black olive tapenade, sea salt, black pepper, cured meat, nori, crushed flowers and umami. The palate brings soft, lithe, focused notes of earth and savory flavors that shimmer on the salty finish. It's all about delicacy but the aroma and flavor expression is compelling. Give it some time in the cellar or decant.",The Tribe Vineyard,94,120,Oregon,Walla Walla Valley (OR),Horsepower 2014 The Tribe Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Horsepower
US,"Estate-grown, this 100% varietal wine impresses in its total embrace of succulent blackberry, plum and mocha goodness, built upon a mountain of structured tannin and quiet oak. Touches of milk chocolate play along the palate as it rides along a velvety roadway, finishing soft and silky.",,94,85,California,Diamond Mountain District,J. Davies 2013 Malbec (Diamond Mountain District),Malbec,J. Davies
France,"The Meridian in the name is the zero-longitude Prime Meridian which passes through this vineyard. The wine, with its minty flavors from new-wood aging, is serious, concentrated and with an impressive structure. The dark firm character of this wine promises plenty more aging. Drink from 2020.",La Coulée du Méridien,94,120,Loire Valley,Saumur-Champigny,Château de Parnay 2014 La Coulée du Méridien  (Saumur-Champigny),Cabernet Franc,Château de Parnay
US,"From dry-farmed 40-year-old vines perched along the Rutherford Bench, this impressive offering is sanguine and elegantly balanced, a showcase of cranberry, raspberry and milk chocolate. Refined acidity contributes to an overall lightness, with dried herb and dust lingering on the finish.",Perspective Estate,94,38,California,Rutherford,Tres Sabores 2014 Perspective Estate Zinfandel (Rutherford),Zinfandel,Tres Sabores
US,"All Trisaetum's dry Rieslings feel a notch riper in this warm year, to good effect. Meticulous blending of individual lots, some aged in oak, brings layers of complexity and helps differentiate each cuvée. Concentrated pear, peach and papaya flavors are on display here, with tangy acidity and superb length and richness. It's dry, to be sure, but also brilliantly fruity.",Coast Range Dry,94,32,Oregon,Willamette Valley,Trisaetum 2016 Coast Range Dry Riesling,Riesling,Trisaetum
US,"Smoky, with bursts of sage and celery root, this is a wine that is unabashedly earthy, spicy, bold and juicy at its core. Light-bodied and delicate, the palate shows beautiful floral undertones. This is a complex and beguiling bottling that should hold well for years to come.",Terra De Promissio Vineyard,94,58,California,Sonoma Coast,Williams Selyem 2015 Terra De Promissio Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Williams Selyem
US,"The aromas of this wine leap from the glass, with notes of orange peel, potpourri, smoked meat, spice, fresh herb, stem, ash and plum. It's expressive, but still wound up. The flavors are focused, concentrated and savory, bringing a sense of intensity and richness but also lightness. The balance is exquisite.",Cailloux Vineyard,94,85,Oregon,Walla Walla Valley (OR),Cayuse 2014 Cailloux Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse
US,"This is an impressively well-crafted, and beautiful wine, blended with 12% Cabernet Sauvignon and 10% Malbec, the main variety mountain-grown on Pritchard Hill. It shines in big, bold and powerfully built black fruit and leather. Dusty, firm tannins and a taste of graphite, coffee and tar are also highly evident. The finish is tart and seasoned in white pepper. Best enjoyed 2023 through 2033.",,94,80,California,Napa Valley,Chappellet 2013 Cabernet Franc (Napa Valley),Cabernet Franc,Chappellet
Portugal,"Ripe, fruity and balanced, this has the potential to be a delicious, not-too-concentrated wine. Acidity and some dry tannins give the wine a firm character that is balanced by the fragrant berry fruits. Drink from 2026.",Quinta da Gricha Vintage,94,60,Port,,Churchill's 2015 Quinta da Gricha Vintage  (Port),Port,Churchill's
US,"From a three-acre spot known to get a hearty dose of fog, this wine speaks to cool-climate character, unveiling crisp floral layers of dried sage and white pepper from the get-go. Those aspects are joined by rose, lavender and cranberry-rhubarb on the palate, finishing with subtle offerings of mushroom and forest floor.",Emmaline Ann Vineyard,94,75,California,Sonoma Coast,Cobb 2014 Emmaline Ann Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Cobb
US,"From vines planted in 1976, this aromatic wine shows the depth that old vines can bring. Strawberry, cola, butter (from 14 months in 50% new French oak), wild cherry and more come into focus, and although delicate, they last and last on the palate. The finish is spectacular.",Old Vines,94,50,Oregon,Chehalem Mountains,Dion 2014 Old Vines Pinot Noir (Chehalem Mountains),Pinot Noir,Dion
France,"Old-vine Pinot Noir has produced a rich structured wood-aged wine. With its opulent texture and ripe full-bodied cherries and red plums, the wine is poised and generous. Drink this impressive wine from 2018.",Anthocyane,94,60,Loire Valley,Sancerre,Domaine Bernard Fleuriet et Fils 2015 Anthocyane  (Sancerre),Pinot Noir,Domaine Bernard Fleuriet et Fils
US,"This reserve-level wine from the Roserock vineyard, Domaine Drouhin's recent Eola-Amity Hills planting, is compelling. Dense and fragrant, it boasts a beguiling mix of rose, cocoa powder and Asian spice, like a magic carpet ride of flavor. A finishing note of chocolate-covered orange peel is the pièce de résistance.",Zéphirine,94,60,Oregon,Eola-Amity Hills,Drouhin Oregon Roserock 2014 Zéphirine Pinot Noir (Eola-Amity Hills),Pinot Noir,Drouhin Oregon Roserock
US,"The winery shows its prowess with making delicious, affordable larger-production wines with this bright and easy drinking Cabernet, a study in soft tannins, juicy cranberry/currant fruit and composed structure. It's a good one to stock up on at the price and quality.",,90,28,California,Napa Valley,Robert Mondavi 2011 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Robert Mondavi
Chile,"Earthy red-fruit aromas come with hints of olive, herbs and spice. The mouthfeel on this blend of Cabernet Sauvignon, Cab Franc and Carmenère is racy and layered. Flavors of herbal berry and spice finish long. Drink through 2018.",Millantu,90,25,Maipo Valley,,Santa Alicia 2012 Millantu Red (Maipo Valley),Red Blend,Santa Alicia
US,"This super-smooth late harvest effort is perfectly balanced among sugar/alcohol/acid components. Lively and rich, it offers concentrated flavors of limoncello, apricot and candied peaches. Drink it chilled for best effect.",StevensSweets Late Harvest,90,15,Washington,Yakima Valley,Stevens 2012 StevensSweets Late Harvest Viognier (Yakima Valley),Viognier,Stevens
US,"Creamy and well-integrated, this offers personality and style. The crisp bite of green apple and lemon curd are textured and long-lasting. With its overall balance, it is a fantastically versatile pairing option.",,90,19,California,Napa Valley,Rutherford Ranch 2013 Chardonnay (Napa Valley),Chardonnay,Rutherford Ranch
US,"With the scent of watermelon chapstick leading the way, this is a fruit-forward wine you want to kiss. Other aromas on the sweet-and-spicy nose include stewed plums and a dill-led herbal element. The flavors of red fruits and brown spice make for a completely delicious experience.",Caverio,90,40,California,Paso Robles,Sextant 2011 Caverio G-S-M (Paso Robles),G-S-M,Sextant
Chile,"Despite showing gritty, scratchy aromas of baked, earthy black fruits, this Carignan-led blend is rock solid and ready. Tight, punchy, focused acidity sets up a rustic palate with a mix of baked-fruit flavors, spice and char. A toasty, dark, long finish is staunch and sturdy. Drink through 2016.",Éclat Vigno Old Vine Blend,90,35,Maule Valley,,Valdivieso 2008 Éclat Vigno Old Vine Blend Red (Maule Valley),Red Blend,Valdivieso
Austria,"Wild thyme and moss blaze a savory trail before honeyed sweetness, cut by wonderfully precise, lemon-sharp acidity. This is linear and superclean, and that wonderful sweet-acid contrast should make this BA a winner both with the dessert trolley and the cheeseboard.",Wahre Werte Beerenauslese,90,,Niederösterreich,,Weixelbaum 2013 Wahre Werte Beerenauslese Chardonnay (Niederösterreich),Chardonnay,Weixelbaum
US,"There's a ying-yang of rich crème brûlée, lemon curd and toasted oak amid good acidity and fresh apple and pear fruit, with inviting aromas to boot. Creamy and crisp it'll serve well aside all manner of seafood, like fresh-caught trout.",Charles Heintz Vineyard,90,45,California,Sonoma Coast,Landmark 2012 Charles Heintz Vineyard Chardonnay (Sonoma Coast),Chardonnay,Landmark
US,"With alcohol in the low-moderate range, this immaculately fresh wine is flush with juicy gooseberry and grapefruit. It carries the varietal hallmarks of fresh herbs, notably chive, and a balancing lick of minerality.",,90,13,Washington,Yakima Valley,Mercer 2013 Sauvignon Blanc (Yakima Valley),Sauvignon Blanc,Mercer
France,"This is as perfumed an example of Syrah as you'll find from the Southern Rhône. Hints of herbs, spice and violets accent blueberry fruit in this charming wine. It's medium in body—not that rich but or layered but supple, silky and easily accessible. Drink this through the end of 2015.",Les Piliers,90,15,Rhône Valley,Costières de Nîmes,Michel Gassier 2012 Les Piliers Syrah (Costières de Nîmes),Syrah,Michel Gassier
Italy,"Intense aromas of blue flower, red berry and licorice lead the nose on this full-bodied wine. Menthol, licorice, cake spices and a blast of orange zest complement the juicy, red cherry and black raspberry flavors.",,90,22,Piedmont,Langhe,Nada Fiorenzo 2011 Nebbiolo (Langhe),Nebbiolo,Nada Fiorenzo
US,"Boushey and Red Willow are the vineyards that contribute to this 100% varietal Cabernet Franc. There's excellent concentration to the brambly, bright, blackberry fruit, and some sharp acidity to underscore it. It's pure varietal and should continue to improve 2019–2021.",Outcast,90,35,Washington,Yakima Valley,Barrage Cellars 2010 Outcast Cabernet Franc (Yakima Valley),Cabernet Franc,Barrage Cellars
US,"Fresh, gushing fruit flavors such as raspberry, red cherry and boysenberry fill out this expressive and well-balanced wine. It is sweetly fruity in aroma, full-flavored, full-bodied, firm and dry in texture but not heavy. It craves ribs or wood-fired pizza.",California Series,90,20,California,Yolo County,Berryessa Gap 2011 California Series Zinfandel (Yolo County),Zinfandel,Berryessa Gap
US,"Distinct crushed lava rock aromas meet with dust, cinnamon, cola and Dr Pepper on this blend of 28% Syrah, 22% Grenache, 17% Cinsault, 17% Mourvèdre and 16% Carignane. Light red fruits of cranberry and slight strawberry show on the palate that dives into serious tannins quickly.",Le Cigare Volant,90,38,California,Central Coast,Bonny Doon 2010 Le Cigare Volant Red (Central Coast),Rhône-style Red Blend,Bonny Doon
Italy,"Black currant, bell pepper and leather aromas lead the way on this blend of Sangiovese and Cabernet Sauvignon. The dense palate delivers ripe black cherry, grilled pepper, mocha and cracked black pepper alongside bracing tannins.",Sant'Ercolano,90,70,Tuscany,Vino Nobile di Montepulciano,Carpineto 2006 Sant'Ercolano  (Vino Nobile di Montepulciano),Red Blend,Carpineto
Spain,"With a black color and deep, resiny aromas of licorice, baking spices and black fruits, this is a big, Tempranillo with plenty of size and tannic bite. Flavors of earthy, oaky, loamy plum and blackberry finish with licorice, spice and baked notes. Drink through 2018.",Antiguos Viñedos,90,60,Northern Spain,Ribera del Duero,Casajús 2011 Antiguos Viñedos  (Ribera del Duero),Tempranillo,Casajús
Spain,"The nose falls somewhere between smoky and gritty, while dusty white-fruit scents prop things up. Peachy acidity and citric tang let you know this is a “nature” Cava, while nectarine, rhubarb and green-herb flavors finish razor crisp and dry.",Reserva Brut Nature,90,25,Catalonia,Cava,Castellroig 2010 Reserva Brut Nature Sparkling (Cava),Sparkling Blend,Castellroig
France,"Dense almost to the point of chewiness, this is a concentrated blend of Syrah, Carignan and Grenache. Earthy, plummy notes pick up hints of dark chocolate and licorice before ending rich and velvety.",Les Cimels,90,17,Rhône Valley,Costières de Nîmes,Château d'Or et de Gueules 2010 Les Cimels Red (Costières de Nîmes),Rhône-style Red Blend,Château d'Or et de Gueules
US,"Coming from the warm 2013 vintage, this is an aromatic offering, with notes of pineapple, kiwi, herbs and oak spices (40% barrel fermented). It's creamy in feel, but with tart, vibrant acidity that keeps the palate fresh and lively.",Horse Heaven Vineyard,90,15,Washington,Horse Heaven Hills,Chateau Ste. Michelle 2013 Horse Heaven Vineyard Sauvignon Blanc (Horse Heaven Hills),Sauvignon Blanc,Chateau Ste. Michelle
Italy,"Opening with aromas of underbrush, perfumed berries and crushed violets, this balanced Rosso displays its pedigree. The savory palate delivers dense wild cherry layered with orange peel, white pepper, mocha and cake spices alongside supple tannins. Energizing minerality signals the close. Enjoy now–2017.",,90,38,Tuscany,Rosso di Montalcino,Citille di Sopra 2012  Rosso di Montalcino,Sangiovese,Citille di Sopra
Spain,"This 2008 holdover shows a mix of jammy, composed berry aromas as well as staunch notes of dried cheese and leather. The palate is firm at first, then more loamy and layered. On the flavor profile, baked berry blends with brine and cardamom, while on the finish this ready-to-drink RDD delivers licorice and earthy baked notes.",Reserva,90,27,Northern Spain,Ribera del Duero,Condado de Oriza 2008 Reserva  (Ribera del Duero),Tempranillo,Condado de Oriza
US,"One of a string of great values made at Terravant near Santa Barbara. Attractively oaky, it's full-bodied, full-flavored and just tannic enough to make it a good pairing for rich meat or cheese courses. It is deep in color, with a slightly tawny rim. It smells like wood smoke and grilled bread, tastes deep as blackberry and delivers cherry flavors that linger on the finish.",,90,10,California,California,Cookies & Cream 2010 Merlot (California),Merlot,Cookies & Cream
US,"Rich cherry and spicy black pepper introduce the nose to this wine from the Adelaida district. The flavors explore the more nuanced, not overly jammy side of the grape, with tart acidity and a good tannic backbone ensuring a long life. Decent now, but better to drink 2018–2022.",Reserve,90,56,California,Paso Robles,Daou 2012 Reserve Zinfandel (Paso Robles),Zinfandel,Daou
Italy,"Ripe black plum, forest floor, mint and spice notes lead the nose on this savory, medium-bodied red. The succulent, straightforward palate doles out fleshy black cherry and crushed raspberry accented with black pepper and clove alongside round tannins. Drink through 2015.",,90,18,Tuscany,Rosso di Montepulciano,Dei 2012  Rosso di Montepulciano,Red Blend,Dei
France,"A blend of white Bordeaux and local Gers grapes, this is a smooth, medium sweet wine. With three years of aging, it has become mature, rich in smoky flavors as well as dried apricot and bitter oranges. Acidity keeps everything in line. It's ready to drink.",Quadrille,90,32,Southwest France,Gers,Domaine de Gensac 2011 Quadrille White (Gers),White Blend,Domaine de Gensac
France,"Chardonay and Pinot Noir are both present in this apple and pear flavored wine. A lively mousse brings out the fruit and acidity, giving a tangy, bright wine that's ready to drink now.",Brut,90,24,France Other,Crémant de Jura,Domaine Rolet Père et Fils 2008 Brut Sparkling (Crémant de Jura),Sparkling Blend,Domaine Rolet Père et Fils
France,"This wine came out of the disaster of shriveled Duras grapes after an especially hot period. Rather than discarding them, Domaine Rotier made a wine. Wood aged, it has many of the characters of a late harvest with its rich, sweet, lightly tannic flavors and sufficient acidity to balance. A surprising success.",Noces de Feu,90,,France Other,Vin de Liqueur,Domaine Rotier NV Noces de Feu Duras (Vin de Liqueur),Duras,Domaine Rotier
